timestamp,index_name,doc_count
2026-07-13T17:33:19.654912,knowledge_etl_release_tst_lt_0,0
2026-07-13T17:33:20.752650,attachment_etl_release_tst,588
2026-07-13T17:33:20.752650,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:20.752650,knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:20.752650,knowledge_etl_release_tst_lt_0,0
2026-07-13T17:33:21.852662,attachment_etl_release_tst,588
2026-07-13T17:33:21.852662,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:21.852662,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:21.852662,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:22.948943,attachment_etl_release_tst,588
2026-07-13T17:33:22.948943,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:22.948943,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:22.948943,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:24.052255,attachment_etl_release_tst,588
2026-07-13T17:33:24.052255,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:24.052255,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:24.052255,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:25.149459,attachment_etl_release_tst,588
2026-07-13T17:33:25.149459,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:25.149459,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:25.149459,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:26.242744,attachment_etl_release_tst,588
2026-07-13T17:33:26.242744,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:26.242744,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:26.242744,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:27.349687,attachment_etl_release_tst,588
2026-07-13T17:33:27.349687,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:27.349687,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:27.349687,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:28.465092,attachment_etl_release_tst,588
2026-07-13T17:33:28.465092,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:28.465092,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:28.465092,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:29.574613,attachment_etl_release_tst,588
2026-07-13T17:33:29.574613,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:29.574613,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:29.574613,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:30.686361,attachment_etl_release_tst,588
2026-07-13T17:33:30.686361,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:30.686361,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:30.686361,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:31.779894,attachment_etl_release_tst,588
2026-07-13T17:33:31.779894,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:31.779894,knowledge_chunk_etl_release_tst_lt_0,2
2026-07-13T17:33:31.779894,knowledge_etl_release_tst_lt_0,1
2026-07-13T17:33:32.877510,attachment_etl_release_tst,588
2026-07-13T17:33:32.877510,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:32.877510,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:32.877510,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:34.000690,attachment_etl_release_tst,588
2026-07-13T17:33:34.000690,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:34.000690,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:34.000690,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:35.151485,attachment_etl_release_tst,588
2026-07-13T17:33:35.151485,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:35.151485,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:35.151485,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:36.256968,attachment_etl_release_tst,588
2026-07-13T17:33:36.256968,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:36.256968,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:36.256968,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:37.363982,attachment_etl_release_tst,588
2026-07-13T17:33:37.363982,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:37.363982,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:37.363982,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:38.473898,attachment_etl_release_tst,588
2026-07-13T17:33:38.473898,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:38.473898,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:38.473898,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:39.591353,attachment_etl_release_tst,588
2026-07-13T17:33:39.591353,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:39.591353,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:39.591353,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:40.701335,attachment_etl_release_tst,588
2026-07-13T17:33:40.701335,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:40.701335,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:40.701335,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:41.818026,attachment_etl_release_tst,588
2026-07-13T17:33:41.818026,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:41.818026,knowledge_chunk_etl_release_tst_lt_0,4
2026-07-13T17:33:41.818026,knowledge_etl_release_tst_lt_0,2
2026-07-13T17:33:42.911394,attachment_etl_release_tst,588
2026-07-13T17:33:42.911394,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:42.911394,knowledge_chunk_etl_release_tst_lt_0,5
2026-07-13T17:33:42.911394,knowledge_etl_release_tst_lt_0,3
2026-07-13T17:33:44.012322,attachment_etl_release_tst,588
2026-07-13T17:33:44.012322,attachment_knowledge_chunk_etl_release_tst_lt_0,0
2026-07-13T17:33:44.012322,knowledge_chunk_etl_release_tst_lt_0,5
