file,document_id,document_name,attach_type,attach_size,stage,status,wall_time_sec,cpu_mean_pct,cpu_peak_pct,rss_mean,rss_peak,samples,started_at,attach_name
intel-assist-index-errors-loc-0-0.json,125538,06.12.2024,page_body,,,DONE,,,,,,,2026-07-29 12:18:14.319324+00:00,
intel-assist-index-errors-loc-0-1.json,207367,Категории аналитических запросов и подходящие графики,page_body,,,DONE,,,,,,,2026-07-29 12:18:34.322555+00:00,
intel-assist-index-errors-loc-0-10.json,226416,Мегаполис_MDM работы,pdf,8630139.0,TOKENIZING,SUB_DONE,4.861177088,0.2,0.2,53985280.0,53985280.0,1.0,2026-07-30 07:43:28.287394+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-10.json,226416,Мегаполис_MDM работы,pdf,8630139.0,INDEXING,SUB_DONE,53.41265408,0.2891414141414135,4.7,53868564.68686869,54394880.0,396.0,2026-07-30 07:43:28.287394+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-10.json,226416,Мегаполис_MDM работы,pdf,8630139.0,VECTORIZING,SUB_DONE,70.53635584,0.3205555555555558,3.2,53876781.51111111,55820288.0,180.0,2026-07-30 07:43:28.287394+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-10.json,226416,Мегаполис_MDM работы,pdf,8630139.0,CONVERTING,SUB_DONE,1.74231808,0.8307692307692308,3.2,53846646.15384615,53985280.0,13.0,2026-07-30 07:43:28.287394+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-10.json,226416,Мегаполис_MDM работы,pdf,8630139.0,EXTRACTING,SUB_DONE,0.806162176,0.0,0.0,0.0,0.0,0.0,2026-07-30 07:43:28.287394+00:00,etl-8MiB.pdf
intel-assist-index-errors-loc-0-12.json,226416,Мегаполис_MDM работы,xlsx,4220056.0,TOKENIZING,SUB_DONE,123.299567104,0.676923076923077,2.2,56691160.615384616,56819712.0,13.0,2026-07-31 19:41:30.133520+00:00,etl-4MiB.xlsx
intel-assist-index-errors-loc-0-12.json,226416,Мегаполис_MDM работы,xlsx,4220056.0,VECTORIZING,SUB_DONE,179.55936896,0.3462962962962954,4.4,53957197.95884774,55263232.0,486.0,2026-07-31 19:41:30.133520+00:00,etl-4MiB.xlsx
intel-assist-index-errors-loc-0-12.json,226416,Мегаполис_MDM работы,xlsx,4220056.0,CONVERTING,SUB_DONE,0.126259968,0.1,0.1,56213504.0,56213504.0,1.0,2026-07-31 19:41:30.133520+00:00,etl-4MiB.xlsx
